game 1/100: A white -> win (checkmate, 147 plies)  |  A vs B: +1 =0 -0 over 1 games, score 100.0%, elo +2400 (95% -676..+2400), avg plies 147, checkmate 1
game 2/100: A black -> loss (checkmate, 99 plies)  |  A vs B: +1 =0 -1 over 2 games, score 50.0%, elo -0 (95% -2400..+2400), avg plies 123, checkmate 2
game 3/100: A white -> win (checkmate, 77 plies)  |  A vs B: +2 =0 -1 over 3 games, score 66.7%, elo +120 (95% -748..+2400), avg plies 108, checkmate 3
game 4/100: A black -> loss (checkmate, 75 plies)  |  A vs B: +2 =0 -2 over 4 games, score 50.0%, elo -0 (95% -2400..+2400), avg plies 100, checkmate 4
game 5/100: A white -> loss (checkmate, 196 plies)  |  A vs B: +2 =0 -3 over 5 games, score 40.0%, elo -70 (95% -2400..+346), avg plies 119, checkmate 5
game 6/100: A black -> win (checkmate, 202 plies)  |  A vs B: +3 =0 -3 over 6 games, score 50.0%, elo -0 (95% -473..+473), avg plies 133, checkmate 6
game 7/100: A white -> win (checkmate, 131 plies)  |  A vs B: +4 =0 -3 over 7 games, score 57.1%, elo +50 (95% -269..+589), avg plies 132, checkmate 7
game 8/100: A black -> win (checkmate, 124 plies)  |  A vs B: +5 =0 -3 over 8 games, score 62.5%, elo +89 (95% -176..+712), avg plies 131, checkmate 8
game 9/100: A white -> draw (threefold_repetition, 106 plies)  |  A vs B: +5 =1 -3 over 9 games, score 61.1%, elo +79 (95% -152..+446), avg plies 129, checkmate 8, threefold_repetition 1
game 10/100: A black -> loss (checkmate, 123 plies)  |  A vs B: +5 =1 -4 over 10 games, score 55.0%, elo +35 (95% -199..+313), avg plies 128, checkmate 9, threefold_repetition 1
game 11/100: A white -> win (checkmate, 81 plies)  |  A vs B: +6 =1 -4 over 11 games, score 59.1%, elo +64 (95% -146..+348), avg plies 124, checkmate 10, threefold_repetition 1
game 12/100: A black -> loss (checkmate, 111 plies)  |  A vs B: +6 =1 -5 over 12 games, score 54.2%, elo +29 (95% -182..+268), avg plies 123, checkmate 11, threefold_repetition 1
game 13/100: A white -> win (checkmate, 109 plies)  |  A vs B: +7 =1 -5 over 13 games, score 57.7%, elo +54 (95% -140..+295), avg plies 122, checkmate 12, threefold_repetition 1
game 14/100: A black -> loss (checkmate, 115 plies)  |  A vs B: +7 =1 -6 over 14 games, score 53.6%, elo +25 (95% -169..+237), avg plies 121, checkmate 13, threefold_repetition 1
game 15/100: A white -> win (checkmate, 93 plies)  |  A vs B: +8 =1 -6 over 15 games, score 56.7%, elo +47 (95% -134..+260), avg plies 119, checkmate 14, threefold_repetition 1
game 16/100: A black -> draw (threefold_repetition, 78 plies)  |  A vs B: +8 =2 -6 over 16 games, score 56.2%, elo +44 (95% -125..+238), avg plies 117, checkmate 14, threefold_repetition 2
game 17/100: A white -> draw (insufficient_material, 147 plies)  |  A vs B: +8 =3 -6 over 17 games, score 55.9%, elo +41 (95% -116..+219), avg plies 118, checkmate 14, insufficient_material 1, threefold_repetition 2
game 18/100: A black -> draw (threefold_repetition, 164 plies)  |  A vs B: +8 =4 -6 over 18 games, score 55.6%, elo +39 (95% -109..+204), avg plies 121, checkmate 14, insufficient_material 1, threefold_repetition 3
